Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,12.750000,12.750000,12.750000,6.023821,7400
1973-02-22,0.000000,12.750000,12.750000,12.750000,6.023821,600
1973-02-23,0.000000,12.625000,12.625000,12.625000,5.964764,1600
1973-02-26,0.000000,11.875000,11.875000,11.875000,5.610422,6400
1973-02-27,0.000000,11.125000,11.125000,11.125000,5.256080,6200
1973-02-28,0.000000,11.250000,11.250000,11.250000,5.315136,2600
1973-03-01,0.000000,9.375000,9.375000,9.375000,4.429278,10400
1973-03-02,0.000000,10.375000,10.375000,10.375000,4.901739,9200
1973-03-05,0.000000,10.750000,10.750000,10.750000,5.078910,7600
1973-03-06,0.000000,10.750000,10.750000,10.750000,5.078910,3200
1973-03-07,0.000000,10.750000,10.750000,10.750000,5.078910,1600
1973-03-08,0.000000,10.875000,10.875000,10.875000,5.137967,2400
1973-03-09,0.000000,11.000000,11.000000,11.000000,5.197022,600
1973-03-12,0.000000,10.625000,10.625000,10.625000,5.019851,3800
1973-03-13,0.000000,10.750000,10.750000,10.750000,5.078910,3200
1973-03-14,0.000000,10.750000,10.750000,10.750000,5.078910,1800
1973-03-15,0.000000,10.750000,10.750000,10.750000,5.078910,1200
1973-03-16,0.000000,10.750000,10.750000,10.750000,5.078910,1600
1973-03-19,0.000000,10.625000,10.625000,10.625000,5.019851,1400
1973-03-20,0.000000,10.625000,10.625000,10.625000,5.019851,5800
1973-03-21,0.000000,10.125000,10.125000,10.125000,4.783625,4200
1973-03-22,0.000000,9.875000,9.875000,9.875000,4.665509,3800
1973-03-23,0.000000,9.625000,9.625000,9.625000,4.547392,4400
1973-03-26,0.000000,9.875000,9.875000,9.875000,4.665509,1600
1973-03-27,0.000000,10.250000,10.250000,10.250000,4.842680,2800
1973-03-28,0.000000,10.125000,10.125000,10.125000,4.783625,400
1973-03-29,0.000000,10.500000,10.500000,10.500000,4.960797,4200
1973-03-30,0.000000,10.250000,10.250000,10.250000,4.842680,2400
1973-04-02,0.000000,10.250000,10.250000,10.250000,4.842680,800
1973-04-03,0.000000,9.750000,9.750000,9.750000,4.606452,1600
1973-04-04,0.000000,9.500000,9.500000,9.500000,4.488337,2400
